Run,Best Fitness,Mean Fitness,Expected Return,Portfolio Variance,Weights,Training Time
1,0.04788621082349295,0.0466214976246057,0.04788621082349295,0.04557831337270681,"[0.0026151590670494616, 0.0, 0.0, 0.0, 0.002322150676489323, 0.9798302174811092, 0.000257667492201278, 0.0005779641109174003, 0.003094046641351476, 0.0, 0.00177616867303654, 0.0005726014398439806, 0.00335534385859987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00559868055940154, 0.0]",0.07956385612487793
2,0.04786514736033586,0.04592980325125349,0.04786514736033586,0.045517065431733575,"[0.0, 0.0, 0.001463200793927988, 0.0042467865777645756, 0.00019655400571563127, 0.9791134724075794, 0.0, 0.00041580039528967553, 0.0, 0.004334647292722488, 0.0006801012431176535, 0.0, 0.004755172400161397, 0.0004942812971413526, 0.0, 0.0017140291658998446, 0.0017782738795105182, 0.0, 8.774997162258468e-05, 0.0007199305695467937]",0.07841801643371582
3,0.04716149291292589,0.04201963896173013,0.04716149291292589,0.044021675728525084,"[0.0014278825292272043, 0.0, 0.01241035043845396, 0.002189235840151312, 0.0, 0.9601763448200566, 0.0010248895289554155, 0.0025841815626244406, 0.004236534481378956, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004193470934020193, 0.009269879964433892, 0.0016011392738651455, 0.0, 0.0008860906268328195, 0.0]",0.07781505584716797
4,0.04714523268074533,0.042429601347275865,0.04714523268074533,0.04397065550993647,"[0.005529017991589332, 0.0018081706213276467, 0.007220892313991192, 0.0, 0.0023021712716426884, 0.960296363688271, 0.001038768312495546, 0.0, 0.0, 0.0, 0.0013347386119262365, 0.0, 0.004060822933859267, 0.0, 0.00029121928799155785, 0.0, 0.0, 0.004480805761507555, 0.0, 0.011637029205397933]",0.07699990272521973
5,0.04821156969103222,0.04689159286902772,0.04821156969103222,0.04598544345738855,"[0.0, 0.0, 0.003034053473470544, 0.0, 0.00013273978603782138, 0.9842617596021526, 0.0, 0.005245294046423758, 0.00013745568312735663, 0.001322871941142038, 0.0, 0.0002668037917255383, 0.0028014818544712635, 0.0, 0.00023849088056044197, 0.0, 0.0016738910478863328, 0.000664917032269872, 7.891747481541198e-05, 0.00014132338591712907]",0.0770561695098877
6,0.047256357020848114,0.04370139583427916,0.047256357020848114,0.04434938715546057,"[0.0, 0.007708965242353736, 0.0, 0.0, 0.0, 0.9663960950715925, 0.00030264131973127485, 0.0, 0.0, 0.00041729928200365956, 0.006548793091764034, 0.006696391227802251, 0.0, 0.0, 0.0008952912534016742, 0.0, 0.0003250745249048804, 0.0, 0.001326930703193606, 0.00938251828325241]",0.0769350528717041
7,0.047771781934554745,0.04448724017295344,0.047771781934554745,0.04501083745799253,"[0.0033110083961232586, 0.003802033830785472, 0.0, 0.0028965392466347444, 0.0, 0.970441347202872, 0.0, 0.009698690383188215, 0.0012604305185228099, 0.0024235164464224963, 0.0035897181750724006, 0.0, 0.0, 0.0, 0.0012319428112824045, 0.000405428830080085, 0.0, 0.0, 0.0, 0.0009393441590160686]",0.07686400413513184
8,0.04770993895695782,0.045448880298241734,0.04770993895695782,0.04527501220827443,"[0.0, 0.0, 0.00046640225144786306, 0.006059719064202621, 0.0, 0.9763208316069644, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0019489317281539702, 0.005099962487790381, 0.0, 0.0006256973455410011, 0.0, 0.0006117134854303757, 0.004623625264474055, 0.00424311676599528, 0.0]",0.0774078369140625
9,0.04808487694633488,0.04722234662141586,0.04808487694633488,0.045792135649603,"[0.0, 0.0, 0.00016079158474727144, 0.0018857971926624754, 0.00012154566131974962, 0.9817168468717757, 0.0, 0.0061406927105093385, 0.0, 0.0, 0.0007135604523999073, 0.001188246064886096, 0.00020303123492205262, 0.002397953231273359, 0.0, 0.00018799879095935483, 0.000828064667937562, 0.00028738667615717955, 0.001628431299314822, 0.002539653561134836]",0.07668900489807129
10,0.04772152006390584,0.0469386781215154,0.04772152006390584,0.04514977501898818,"[0.003467605309712922, 0.00040465902214119575, 0.0, 0.004477554280273444, 0.00035994267938033577, 0.9739865692927712, 0.0012502248896377691, 0.0, 0.0, 0.0017270585537543298, 0.0, 0.001375021036661664, 0.0, 0.0013111946928538272, 0.0, 0.0024122124012183415, 0.003325422057628386, 0.0012007559840663486, 0.0040047513609582745, 0.0006970284389420546]",0.07658886909484863
11,0.04726843829471756,0.04649859666508061,0.04726843829471756,0.04434876143582609,"[0.004076828598878291, 0.0, 0.0, 0.0008584746196769743, 0.00015800902306146883, 0.9638504822037482, 0.0, 0.0, 0.0036732552228742566, 0.022004182592294638, 0.0, 0.0, 0.0017962181993950496, 0.0, 0.0005819878608403425, 0.001581692610949375, 0.00010828730667156198, 0.0, 0.001259503159695483, 5.107860191428755e-05]",0.07653975486755371
12,0.047856770733207446,0.04664101581286943,0.047856770733207446,0.04531527112239796,"[0.0032112876208396767, 0.0006316208666583297, 0.0, 6.100234854516286e-06, 1.9989849883592655e-05, 0.9771027455270014, 0.0006070446443825957, 0.0012738625032768579, 0.0, 0.0008839992431370307, 0.00012300025496783936, 0.0048499576169153515, 0.00010302563691192663, 7.312493493144942e-05, 0.0007028599864916517, 0.004417943577157799, 0.003944717804020653, 0.001192086847449029, 0.000856632851120416, 0.0]",0.07689094543457031
13,0.04764371412134481,0.046096262153452486,0.04764371412134481,0.04468334565764267,"[0.0036523369668231545, 0.0005611453113091809, 0.0014837171902260511, 0.004253319106356005, 7.538485579951033e-05, 0.9660604297857548, 0.0, 0.014134848214155893, 0.0004353566926404836, 0.0, 0.00047134585600522457, 0.004970787768443934, 0.0, 0.0005480925511000909, 0.00038364160717117125, 0.0, 0.0, 0.002969594094214428, 0.0, 0.0]",0.07650089263916016
14,0.04718160286702289,0.046859179103838494,0.04718160286702289,0.044039280911368,"[0.00895707279091306, 0.0008801620018923513, 7.360842474225656e-06, 0.015609991063225512, 0.0013738684344547232, 0.9577419876663159, 0.0009045566358840736, 0.0020692717120700216, 0.00611883798943601, 0.0007653958696482929, 0.0, 0.00020085240952873051, 0.0007574389751423929, 6.086599811335526e-05, 0.0, 0.0, 0.00022907510238141297, 0.0003173020489283378, 1.685059191973955e-05, 0.003989109867671913]",0.07700681686401367
15,0.04821549183907061,0.04273776764502795,0.04821549183907061,0.04601907864694534,"[0.0024396734007839315, 0.001462074076143207, 0.0, 0.0, 0.00011128699123535452, 0.9848513835184723, 0.0, 0.0, 0.003934492304068681, 0.003995642401693138, 0.0, 0.0, 0.0, 0.001020705712364529, 0.0, 0.0, 0.0, 0.0021847415952388686, 0.0, 0.0]",0.07694697380065918
16,0.047953786855866945,0.047667904921524756,0.047953786855866945,0.04561733402779482,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.9802936360695764, 0.0012221918355077251, 0.0025852073735731828, 0.0, 0.0074713013391720364, 0.0, 0.001726403130225866, 0.0005515195967866307, 3.740464508732349e-05, 0.0005963029498103308, 0.0004224919057537595, 0.0007150829815812637, 0.0003225701983847021, 0.0018022982946129078, 0.002253589679928157]",0.0772390365600586
17,0.0464344611863937,0.043936010778631865,0.0464344611863937,0.042350430648357855,"[0.015464699438273201, 0.009179513479724483, 0.0, 0.0037294259393913284, 0.0, 0.9374827882943151, 0.0035054092857042256, 0.0, 0.0, 0.010422894163461338, 0.0, 0.0024390726549455397, 0.0023191801770969817, 0.0, 0.0001903340368710485, 0.0019433978380002375, 0.0, 0.004147137046352676, 0.0, 0.009176147645863754]",0.07625102996826172
18,0.047845203443009,0.04739472806755685,0.047845203443009,0.04529830010365385,"[0.0, 0.0, 0.0, 0.0037431195644593647, 0.0008236661775344164, 0.9755555744523505, 0.0006403931832893815, 0.007031805128985426, 6.014328368535432e-05, 0.0008057404387076595, 0.0, 0.001183259877916469, 0.0003432877843941837, 0.0, 0.0009048167611035454, 0.004654990716669301, 0.0011113389832994698, 0.00011114359450575923, 0.0014774730768072819, 0.0015532469762917424]",0.07626008987426758
19,0.048132598190517184,0.046742385026389416,0.048132598190517184,0.045854286670571016,"[0.0005642960144442254, 0.005976094662473208, 0.004193894364134088, 0.0024063579031339713, 0.0, 0.9824571917264348, 0.0, 0.0, 0.0, 0.0018253585918607187, 0.0, 0.00046354459830113317, 0.00035358382176137117, 0.0005626472562504077, 0.0, 0.0, 0.00032476091062237666, 0.0, 0.0008722701505837331, 0.0]",0.07638072967529297
20,0.04661080098334245,0.044803414086166476,0.04661080098334245,0.043097135319240365,"[0.0, 0.004983915893120102, 0.0009635027150730663, 0.0, 0.0053602695516202755, 0.9490708582107545, 0.0, 0.006853053495543131, 0.0026688101325345248, 0.0004893870548636368, 0.0009291150964690113, 0.007844592517267336, 0.0, 0.009796276858472213, 0.0007778738267334097, 0.0076168610015164675, 0.0015181962421565312, 0.0, 0.0, 0.0011272874038757033]",0.07604098320007324
21,0.04814278666072421,0.04771268792857626,0.04814278666072421,0.04586393076765609,"[0.0014417595661683485, 0.0, 8.759821710065687e-05, 0.0001092759888612857, 0.00021849457205003867, 0.9833588732366186, 0.0, 0.0013940561263483442, 0.002756440920083755, 0.0, 0.0, 0.0, 3.5674304792586146e-05, 0.0022535694698250044, 0.0, 0.0010215906157113254, 0.0011994899189605643, 0.004143143751531509, 0.0, 0.001980033311947842]",0.07628226280212402
22,0.0472802896908231,0.04291928416498696,0.0472802896908231,0.04428268285863951,"[0.0033601851834064527, 0.0, 0.00706037739676307, 0.0, 0.0, 0.9633246262273505, 0.007150637200313022, 0.0, 0.000832115484687523, 0.00022044683192328838, 0.0018437887281171949, 0.0, 0.0, 0.0012286196063078902, 0.003991404084482953, 0.0, 0.008080928275443513, 1.1191718436817382e-05, 0.0003820609645617167, 0.0025136182982060345]",0.07562708854675293
23,0.04729744413042056,0.043169074637427876,0.04729744413042056,0.04437171049658327,"[0.0019427198500330425, 0.005047652215327274, 0.0026227820738641008, 0.0, 0.008346349375146347, 0.9647213915356541, 0.0017647489608151534, 0.0, 0.0, 0.00038506858692142804, 0.0, 0.0015103257359171931, 0.00015094080207243163, 4.9899919339527165e-05, 0.0024604450660739097, 0.0, 0.0, 0.005786119615795606, 0.0, 0.005211556263040043]",0.07557392120361328
24,0.04767419093457873,0.046199909589421016,0.04767419093457873,0.044944036802428165,"[0.005259403890752307, 0.004941671339243961, 3.6553763446366334e-05, 0.0, 0.0, 0.9707530033182761, 0.0, 0.004287770384566835, 0.0, 0.0, 0.003695590871692725, 0.002434919111328455, 0.0007898235633495942, 0.003710706134308639, 0.0, 0.0012417481721526573, 0.0, 0.0, 0.0028488094508824463, 0.0]",0.07627701759338379
25,0.048085004889456155,0.04735970423474341,0.048085004889456155,0.04576675988118386,"[0.0025718923617226897, 0.0020461648714954644, 0.0, 0.000592929491750146, 0.0001930307074100446, 0.9819917941945159, 0.0, 0.0012624076959389398, 0.00029265663393785764, 0.0016247753243645267, 0.0, 0.0001627401055096237, 0.0, 0.0002771460641762062, 7.364150616937731e-05, 0.0030871335686096374, 3.5275823921806285e-06, 0.0, 0.00261573723416445, 0.00320442265784286]",0.07642173767089844
26,0.04785906099170514,0.04484411525573677,0.04785906099170514,0.04545701218294048,"[0.0, 0.00016685582044606676, 0.0, 0.0, 0.0005263176562994219, 0.9785516383635214, 0.0, 0.004672727091194978, 0.0017867480540354316, 0.0015692261213878244, 0.0, 0.006898567824806001, 1.6432407622076024e-05, 0.002346657261978585, 0.0, 0.00048792534022061346, 0.0, 0.0, 0.002976904058487691, 0.0]",0.07638001441955566
27,0.04859689618127757,0.04831051501236314,0.04859689618127757,0.04682846523662928,"[0.0004934607077378006, 0.0, 0.0, 0.00020486063649858494, 0.001398168050237083, 0.9948545659363722, 0.0, 0.0009009378516919347, 0.0, 0.0, 0.0, 0.0, 0.00013436564181576333, 0.0, 0.00011555543011667366, 0.0003448963751190781, 0.0008275580924201575, 0.0, 0.00046977125951243336, 0.00025586001847828553]",0.07634210586547852
28,0.04812683078312427,0.0467005257755555,0.04812683078312427,0.04599546017420799,"[0.0, 0.0, 0.0008388226009458146, 0.00013160493164066545, 0.0, 0.9854762887819993, 0.0013776801037599035, 0.0, 0.0003225606658464643, 0.00012099889515303763, 0.0, 0.0011693680381276922, 0.00405441312977601, 0.0031286005148020383, 0.0, 0.0006294340842038892, 0.0022811410542390234, 0.0002164848332328897, 0.0, 0.0002526023662734531]",0.07648992538452148
29,0.048088604856053166,0.0474745131113946,0.048088604856053166,0.04578184125135241,"[0.002315377423063599, 0.0, 0.0, 0.0, 0.00024928869152217136, 0.981328994113843, 0.007094772473913949, 0.0009684635243479051, 0.0, 0.0011376675357566346, 0.00033015868452971285, 0.0, 0.0, 3.338780736123388e-05, 0.0, 0.0, 0.0, 0.004253933831427478, 0.0022879559142342004, 0.0]",0.0765371322631836
30,0.04767039208779114,0.04724583916928662,0.04767039208779114,0.04502570550349453,"[0.0, 0.0, 0.0, 0.00027381534920194395, 0.002773605608489886, 0.9738388190957161, 0.0, 0.0008722454017901355, 0.0013097673166094176, 0.0013492263826233894, 0.0, 0.00375168032946914, 0.00013422002479562744, 0.0008705090780877577, 0.00041271578603931477, 0.0, 0.006048480774100263, 0.007101626736594425, 0.0006487833331547021, 0.0006145047833278546]",0.07632303237915039
