Run,Best Fitness,Expected Return,Portfolio Variance,Weights,Mean Fitness over Generations,Training Time
1,0.04228921646538351,0.04228921646538351,0.03402899741845247,"[0.044902249315591676, 0.016700203890289325, 0.010285705003121735, 0.0004807071017330496, 0.007435291170916252, 0.8143639549111602, 0.005940889470062054, 0.03623779924258724, 0.007237247373516314, 0.010618076497408185, 0.0037552518716460663, 0.003006464289863899, 0.0065316496601289815, 0.0024178049658245063, 0.00441217731726257, 0.0016363844741613038, 0.0015871511057142693, 0.008675011153262673, 0.0019759818565512934, 0.011799999329198466]",0.029516762234371004,0.03402304649353027
2,0.040553184984325884,0.040553184984325884,0.032407225239179036,"[0.019516766046259557, 0.018743611075690808, 0.0010387477423832523, 0.0032099214615114798, 0.013167679964909836, 0.8008566337253442, 0.02152800711458839, 0.014654912267958136, 0.0031055427856720367, 0.00864008148295823, 0.007287404045398078, 0.017980648365732023, 0.016389828642463, 0.003386320560594356, 0.0010796535591948914, 0.022995918147980726, 0.005544587514787126, 0.005724671123112412, 0.014467292900652916, 0.0006817714728085938]",0.02926535950932457,0.032898902893066406
3,0.04153388268886275,0.04153388268886275,0.03324891783276905,"[0.006429119218392921, 0.007970627440442992, 0.010969157569077537, 0.04022254398072922, 0.007545085664758815, 0.7992164473530637, 0.003255553253791897, 0.06562790867415272, 0.012602718014782497, 0.004616903437484562, 0.005865956759487381, 0.0042051162434663236, 0.0010539811257657674, 0.005496224022348623, 0.0006449508071396573, 0.008433824803393492, 0.009606894868300322, 0.0018569510038783802, 0.0005590494113598963, 0.0038209863481833885]",0.029673957814285536,0.03304910659790039
4,0.04149768043600748,0.04149768043600748,0.03383279383558345,"[0.017626153072910503, 0.0005057446684131777, 0.031465847808723434, 0.00014883737529776522, 0.011946449238619226, 0.8201686339672983, 0.011173633499601448, 0.015614848010648628, 0.006730930726125922, 0.010715676950787794, 0.0056855395557787415, 0.003672809833181324, 0.001530667027486965, 0.0059763582237679835, 0.0022784461402211866, 0.0061364466500176, 0.01642763219443257, 0.0032773301612048604, 0.009886376629308219, 0.019031638266174433]",0.028746955301664948,0.03342008590698242
5,0.04018539656434695,0.04018539656434695,0.0303884534685494,"[0.0632041871906853, 0.02922642928710867, 0.0023898710687548295, 0.01872285470401144, 0.0017573846239885397, 0.7642726720726999, 0.0037353858503111604, 0.002547095337463815, 0.013828114406938574, 0.0009862295338719555, 0.004216239217165254, 0.0013064851905426917, 0.004350934686238183, 0.005620646239107937, 0.0021391718444457824, 0.014423515287266013, 0.05435981115164083, 0.0026244937909521405, 0.00593693214743738, 0.0043515463693696065]",0.027769962311858777,0.03289985656738281
6,0.04058586160839974,0.04058586160839974,0.03207095283279484,"[0.0060760035811117065, 0.018547044825276214, 0.007436114342951711, 0.004891865669513483, 0.011530934887157411, 0.7936964769608904, 0.008006655472692957, 0.02421689150342862, 0.0024772970482210576, 0.023799022533522722, 0.004486309166219343, 0.01506650163926723, 0.00023171863269278893, 0.002212863587736971, 0.010529565682220328, 0.001552089390532916, 0.008941900881966464, 0.05274364320248257, 0.003034879917664964, 0.0005222210744502847]",0.029328869885757013,0.033296823501586914
7,0.04271357159280067,0.04271357159280067,0.03559822383976396,"[0.005533955646991576, 0.018663211066006755, 0.009486393839316761, 0.008937899832805627, 0.0012209367080472417, 0.8447864142410177, 0.012806937884030659, 0.015380143234364733, 0.012479266952210414, 0.011087656307033301, 0.0007248981243676082, 0.0025260584547563904, 0.004142068011540971, 0.006289429310318931, 0.0032897463589711337, 0.004233705944592655, 0.008043408196887179, 0.01987920980900591, 0.00947856694643487, 0.0010100931312995378]",0.030458016378233515,0.03294181823730469
8,0.0406764451805621,0.0406764451805621,0.032292646588962866,"[0.023837749870837876, 0.011225112791996051, 0.0015044248042498847, 0.019309437404930685, 0.0084906617018525, 0.7924398870527737, 0.019386991381107648, 0.034532848045021464, 0.01777189875481151, 0.0047291830604913624, 0.001855404735776847, 0.007888446002745415, 0.0031899655981626886, 0.010866795609479151, 0.009038596729476624, 0.0009540432664300094, 0.00037623779592620176, 0.0007358551338702065, 0.0021574274174087317, 0.029709032842651365]",0.029065168914948893,0.033638954162597656
9,0.04138832150674504,0.04138832150674504,0.03395365743830406,"[0.010465426147831256, 0.0077807248731166885, 0.009537822542694389, 0.02380542498169714, 0.0004006660233975221, 0.8208662163637912, 0.0012365559640490137, 0.01568617248311608, 0.005411855107586437, 0.009208815812936349, 0.008846152727699317, 0.004124490557214773, 0.0039317897288899655, 0.009062329558836154, 0.01377532014698757, 0.009523909099782695, 0.0022985334799344556, 0.028691203274615055, 0.011227885231596365, 0.0041187058942276835]",0.031732669907685265,0.03342795372009277
10,0.04205901108288941,0.04205901108288941,0.034402365788692386,"[0.021675140816028744, 0.004704962967682515, 0.00966342714445635, 0.016102143598608665, 0.008967861925731369, 0.8236018661155851, 0.0050634480647266545, 0.028975701467642646, 0.006845683081285015, 0.00629390429393988, 0.00010259917112424701, 0.0004749212872819701, 0.014504898578816181, 0.005888338672084749, 0.0027266658308475874, 0.0007564169486828985, 0.003960502776271511, 0.02621670363722885, 0.007761788619622079, 0.005713025002353178]",0.028522917311981307,0.03347182273864746
11,0.04228423861447043,0.04228423861447043,0.03516076885120491,"[0.009396947018286356, 0.007039879300222791, 0.006000545760952397, 0.018720114311615174, 0.001518515571124573, 0.843050340326152, 0.007249133524604819, 0.014934569292661837, 0.0023122469788232, 0.0038249185797118138, 0.0029834611891830865, 0.007156792783852615, 0.018702919776761966, 0.0004080069129621669, 0.00010501683277549974, 0.011334308389512774, 0.010017269451615816, 0.00833511485185973, 0.003433839016337555, 0.02347606013098372]",0.030129411387933548,0.03325009346008301
12,0.04082777525489062,0.04082777525489062,0.0332089157562258,"[0.0019426295275525615, 0.024499379764447663, 0.016235570108402198, 0.033620782477591114, 0.005235701994315729, 0.8124089204812608, 0.007832643939564085, 0.0031626969426266287, 0.01835587781221956, 0.005978156813932961, 0.0029483832172879335, 0.007495538063626623, 0.008006184310507303, 0.009158262079109452, 0.00844623501244474, 0.012675002119247861, 0.0007042778225409487, 0.008223788947373472, 0.003935496640148099, 0.00913447192580025]",0.028012197074451007,0.03250408172607422
13,0.041512366641477824,0.041512366641477824,0.03390493697130184,"[0.009455331562599487, 0.0019206621438420692, 0.012706822749856574, 0.008424840701459836, 0.006308566085147814, 0.8266555200674575, 0.011704471760463788, 0.0005798964103293624, 0.014486458719344817, 0.009426529424260085, 0.013201939936939229, 0.002874637647120369, 0.00796830515723325, 0.0006622901546332057, 0.0008487547354714436, 0.02306163299092683, 0.039106410651480024, 0.01005607494489359, 0.0004197327428383112, 0.00013112141370247274]",0.03021119835786906,0.03352808952331543
14,0.04149170325398966,0.04149170325398966,0.03387923887526624,"[0.0019782099560755545, 0.02481633293304261, 0.005953923673313268, 0.008173048948294006, 0.012192249736797911, 0.8218250869096337, 0.002502555076514792, 0.016778304780896716, 0.015134393620765135, 0.03667532913696686, 0.0021618495756202893, 0.0037029490129279305, 0.011815388425590021, 0.0023258630833478803, 0.0012319518039227541, 0.011183830588972625, 0.0034027723576045567, 0.008124807615028888, 0.0057324023312999755, 0.004288750433384744]",0.029213751307661736,0.03330397605895996
