Run,Mean Fitness,Expected Return,Portfolio Variance,Weights,Mean Fitness over Generations,Training Time
1,0.033939991006112835,0.04053407892719916,0.030460078380975638,"[0.06463062871918629, 0.01986888877809902, 0.018952883047623565, 0.0, 0.0, 0.7675947518855072, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013275906210945319, 0.0, 0.08577198501215441, 0.0, 0.029904956346484234]",0.033939991006112835,0.013171911239624023
2,0.030058770224394297,0.03631713576602368,0.023942447121845786,"[0.15532504634910627, 0.0, 0.0, 0.0, 0.0, 0.6393111523790665, 0.012615459843047601, 0.03365822719972838, 0.0, 0.004919053773614052, 0.0, 0.007815370707084752, 0.0, 0.0, 0.051852280319463644, 0.028406733382591406, 0.0, 0.06609667604629746, 0.0, 0.0]",0.030058770224394297,0.011831045150756836
3,0.03406303518999412,0.0432997772881981,0.038329134986640576,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.883963173675826, 0.0, 0.0, 0.0, 0.0453408930774173, 0.02635074515668613, 0.0, 0.0, 0.04434518809007048, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.03406303518999412,0.011968851089477539
4,0.031223220472015076,0.03649447612693516,0.026016700337992308,"[0.08200939377916726, 0.0, 0.004949326781388172, 0.03327487710615093, 0.017608581192516588, 0.691401920203157, 0.0, 0.019796162702675164, 0.02530830911699165, 0.0, 0.0, 0.0, 0.036536746754559306, 0.0, 0.03662714265627343, 0.0, 0.03250281517587295, 0.0, 0.0, 0.0199847245312475]",0.031223220472015076,0.011933088302612305
5,0.03076739839077061,0.03971915013481632,0.029833904671709797,"[0.0, 0.0, 0.09602098826790362, 0.0, 0.0, 0.7497226066584708, 0.005732653339047309, 0.07129766069355234, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01805929958689093, 0.006189513037562314, 0.014260271616637815, 0.03871700679993493, 0.0, 0.0, 0.0]",0.03076739839077061,0.011662960052490234
6,0.029254024712616063,0.03531447219755504,0.0256286195079748,"[0.0, 0.0, 0.0, 0.014804111441895584, 0.015501959897834152, 0.6962216949929808, 0.03959356007282417, 0.024935941630506744, 0.027893081108130716, 0.019734461693467542, 0.030114555942122617, 0.0, 0.021581646862677606, 0.0, 0.033099117896356015, 0.076519868461204, 0.0, 0.0, 0.0, 0.0]",0.029254024712616063,0.011759042739868164
7,0.033986788513705714,0.04206974972784078,0.035068781080253186,"[0.0, 0.06139814021638292, 0.0, 0.01960673312928438, 0.0, 0.8368472015047458, 0.0, 0.0054803896881670516, 0.0, 0.010719140832831466, 0.0, 0.007161712199105621, 0.0, 0.01745130337139508, 0.018731643818697102, 0.0, 0.0, 0.0, 0.022603735239390663, 0.0]",0.033986788513705714,0.011559009552001953
8,0.030511993909864765,0.03627044332726762,0.024345589128516844,"[0.04572487586268039, 0.1286808775697209, 0.0, 0.0, 0.0, 0.6686457250951972, 0.024156581985622316, 0.0, 0.0, 0.027395650880210835, 0.0, 0.013261088318344499, 0.0, 0.0, 0.030698170257089197, 0.0, 0.015170849186591642, 0.0, 0.0, 0.04626618084454301]",0.030511993909864765,0.011757850646972656
9,0.03166883031243224,0.038569452699335996,0.027099207223540978,"[0.14938432575263108, 0.028813183913011974, 0.0, 0.0, 0.0, 0.6918911657071365, 0.012102136968787204, 0.005356437341200688, 0.0, 0.02605110244195595, 0.0, 0.0, 0.0, 0.04577536872638894, 0.0, 0.0, 0.027714375370998936, 0.010257472686320034, 0.002654431091568584, 0.0]",0.03166883031243224,0.011758089065551758
10,0.033059341871540644,0.03930591115206077,0.03143688005713199,"[0.004660790634769922, 0.019073885099987416, 0.0, 0.04425611708085964, 0.021226373265536263, 0.7878971145980436, 0.0, 0.0, 0.0014362814508798159, 0.0, 0.02099515175996974, 0.0, 0.019311761741769025, 0.0, 0.003017011193516377, 0.05758860545791354, 0.0, 0.0, 0.02053690771675466, 0.0]",0.033059341871540644,0.011728048324584961
