Run,Best Fitness,Mean Fitness,Expected Return,Portfolio Variance,Weights,Training Time
1,0.02898895462332876,0.021864959958827042,0.02898895462332876,0.01532620108653463,"[0.11956170970893847, 0.0, 0.0, 0.0, 0.0, 0.4801531175239489, 0.025834766207833367, 0.03937384478342679, 0.03723406267091801, 0.0, 0.03457970050353783, 0.025777980030616914, 0.013445157796816586, 0.0, 0.0, 0.03407811293855159, 0.161505254917149, 0.0, 0.028456292918262547, 0.0]",0.04274392127990723
2,0.03588744218656671,0.02466193644235492,0.03588744218656671,0.025410218894502273,"[0.0, 0.0, 0.05820415783528274, 0.045747210265124835, 0.0, 0.6742359520040996, 0.08443969269973692, 0.047263818339800825, 0.023113597360354177, 0.0, 0.0, 0.027937148012671807, 0.0, 0.013375008271654804, 0.0, 0.02568341521127434, 0.0, 0.0, 0.0, 0.0]",0.042298078536987305
3,0.02747674193452425,0.021148642733689393,0.02747674193452425,0.013190740885016584,"[0.2800877683207665, 0.047696811265192755, 0.0, 0.007399591534522395, 0.0, 0.3865131702866091, 0.06436661438273117, 0.03308520476185204, 0.030065880181282457, 0.0, 0.0, 0.03447926455331795, 0.0032459627503121477, 0.0, 0.07274116980198561, 0.0034739865521936056, 0.018492316777738636, 0.0, 0.01835225883149565, 0.0]",0.042429208755493164
4,0.030538616561110392,0.021208958641207344,0.030538616561110392,0.017799130918331702,"[0.09249732257017147, 0.0, 0.013329904711138008, 0.0, 0.02184240609224793, 0.5542262708786455, 0.0, 0.0, 0.08207214881592412, 0.017287434690919836, 0.0, 0.0, 0.039611989140105226, 0.0, 0.01351357285816318, 0.01669426295016645, 0.08230583488770259, 0.0, 0.0, 0.06661885240481544]",0.043495893478393555
5,0.030264492044884902,0.02298969341119627,0.030264492044884902,0.01724589296851558,"[0.18289524144224276, 0.012794353627228087, 0.004833146387497818, 0.07996665402187668, 0.0, 0.5052128273453745, 0.0, 0.0010141829929219129, 0.0, 0.0, 0.0, 0.06660831944037668, 0.0, 0.06680554567116917, 0.0, 0.018019142416076547, 0.0, 0.06185058665523579, 0.0, 0.0]",0.043015241622924805
6,0.034533380904026634,0.02264031120063076,0.034533380904026634,0.023838518872547527,"[0.0, 0.03113062246067191, 0.0, 0.0, 0.0430583225304057, 0.6662665624958832, 0.0, 0.0, 0.0, 0.0432850156351751, 0.021208080076342093, 0.0, 0.015454689123630707, 0.0, 0.0, 0.0272059854759137, 0.023756128872929466, 0.10446766516740955, 0.02416692816163843, 0.0]",0.04394102096557617
7,0.02968590718216274,0.022021877105285276,0.02968590718216274,0.016283938323341594,"[0.050856580689047665, 0.04237821239480956, 0.0, 0.05194520647686313, 0.03683241330345125, 0.5013658465369244, 0.009823041385620497, 0.05497955105253508, 0.0, 0.0037153972044811122, 0.0, 0.008443641570901212, 0.021227273452745905, 0.0, 0.0, 0.013730685548525016, 0.0, 0.137127528997477, 0.0, 0.0675746213866182]",0.04214596748352051
8,0.03232179201575092,0.021724992885715617,0.03232179201575092,0.01838965450469887,"[0.001822801601800307, 0.09481446474067219, 0.0, 0.02460230830050036, 0.0, 0.5412770734566712, 0.0576146198691392, 0.10779925032722111, 0.02168016895790097, 0.0, 0.0, 0.0, 0.0, 0.00684508940183891, 0.0, 0.0, 0.06307858677061853, 0.0, 0.0, 0.08046563657363721]",0.04225897789001465
9,0.02919893694495049,0.021282445014738468,0.02919893694495049,0.016968133105254184,"[0.007882382516737839, 0.0, 0.0, 0.05851715338142346, 0.004170875896557743, 0.4803380587040679, 0.0826266889370576, 0.13778052235894092, 0.0, 0.09114981537724472, 0.03356583279925313, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06025062869748741, 0.027458101201377903, 0.01625994012985138]",0.04288601875305176
10,0.028598668866477474,0.02171398366042594,0.028598668866477474,0.0161672175876987,"[0.0880007114913464, 0.0, 0.045268931165715676, 0.0, 0.0, 0.4760556255045153, 0.01112692453499116, 0.11245577751006956, 0.05785834615833801, 0.0, 0.07690711783954435, 0.0, 0.03807274143980957, 0.07892830067040205, 0.0, 0.0, 0.0016301124886886245, 0.0, 0.013695411196579289, 0.0]",0.04333996772766113
