Run,Mean Fitness,Expected Return,Portfolio Variance,Weights,Training Time
1,0.03913672089010631,0.0461996720607007,0.042758402251458535,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.9503626854459433, 0.004762580718440828, 0.0, 0.0, 0.0, 0.0, 0.04354992812237365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0013248057132422028]",0.04372286796569824
2,0.03789288778600262,0.04451609262443558,0.03835339606596124,"[0.0, 0.018299801469481222, 0.0, 0.0, 0.0, 0.8870739449085276, 0.02898128702156852, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04669807424651263, 0.01894689235390995, 0.0, 0.0]",0.041991233825683594
3,0.03828394315639908,0.04411995035519856,0.03904813507009978,"[0.0, 0.030974211001152104, 0.0, 0.0, 0.0025570792855734337, 0.8963255635695372, 0.0, 0.0, 0.0, 0.005210985767586635, 0.04254016199655226, 0.0, 0.009992716711787282, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012399281667811164, 0.0]",0.04196810722351074
4,0.04005709928365522,0.04424431584677356,0.03921700880720632,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.907332027872604, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.056036945391943135, 0.0, 0.0, 0.03663102673545278, 0.0, 0.0, 0.0, 0.0]",0.0421600341796875
5,0.039120611033066174,0.043586819290859224,0.038321176983064156,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.8879902530893268, 0.0, 0.0, 0.0, 0.0, 0.06596392870414036, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012589473228078648, 0.03345634497845411, 0.0, 0.0]",0.04247093200683594
6,0.039109333041368266,0.0446036388965271,0.038762659451703034,"[0.06704557906782964, 0.0007056066885967864, 0.0, 0.0, 0.029399175504249975, 0.8794566572204412, 0.0, 0.0, 0.0, 0.022673501416628352, 0.0007194801022540564, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.04224991798400879
7,0.03821477363319192,0.044393938567045606,0.0387408648423683,"[0.016504397298171727, 0.0, 0.0, 0.0, 0.0, 0.8936223985858973, 0.026170144504490737, 0.0, 0.0018081539012387048, 0.0, 0.0, 0.018825012517988685, 0.0007614280817746183, 0.0, 0.0, 0.04144994628484413, 0.0, 0.0008585188255941615, 0.0, 0.0]",0.042752742767333984
8,0.03778785892880032,0.04382293873671136,0.03783777344479946,"[0.0, 0.0, 0.024511366752132658, 0.0, 0.008922576204289049, 0.8835797034160139, 0.0, 0.0, 0.0, 0.014702648660480424, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03367559726693715, 0.023505538314524642, 0.0, 0.0, 0.011102569385622131]",0.04355907440185547
9,0.0394914344058902,0.04411958190166373,0.03773072379481654,"[0.02797078517187567, 0.0, 0.0, 0.0, 0.007878160070312052, 0.8778391831068375, 0.0, 0.010390256623613687, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.029302200628400644, 0.0, 0.04661941439896043]",0.043064117431640625
10,0.04008899445950494,0.04461267335828984,0.038873083483772365,"[0.0, 0.0438953766769908, 0.0, 0.040963932472251614, 0.0, 0.8886471398882819, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01626664383850642, 0.0, 0.010226907123969314]",0.04273200035095215
11,0.03994154039717959,0.04506549992838651,0.04041796128113118,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.9162055153448276, 0.005187972518343241, 0.0, 0.015484878433068092, 0.022225681731846338, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02343949998612851, 0.0, 0.0, 0.017456451985786166, 0.0]",0.04277300834655762
12,0.03752994146944227,0.04564968928848077,0.041062580127110324,"[0.0, 0.04757952496548466, 0.0, 0.0, 0.017997712415227032, 0.9203760798253863, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01404668279390212, 0.0, 0.0, 0.0, 0.0, 0.0]",0.04269289970397949
13,0.039488524866354166,0.04498823341328053,0.040243223816784926,"[0.0, 0.0, 0.0, 0.012780650083926285, 0.0, 0.9154179615320633, 0.0, 0.0, 0.0, 0.012107336510485048, 0.0, 0.0, 0.01879166893185448, 0.0, 0.0, 0.034237595341942005, 0.006664787599728899, 0.0, 0.0, 0.0]",0.042672157287597656
14,0.03921737731697013,0.044523253146498756,0.03842665639458451,"[0.06142357059146338, 0.0, 0.0, 0.0, 0.023356941038483747, 0.8791945990367337, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012010806897383078, 0.0, 0.0, 0.0, 0.014334453810968146, 0.009679628624967818, 0.0, 0.0]",0.042577266693115234
15,0.038794498339398575,0.04519783330339501,0.039014855484293225,"[0.06397716457844477, 0.024107750326370983, 0.0, 0.0, 0.0, 0.8837848561580639, 0.0, 0.0, 0.0, 0.024769412342663683, 0.0, 0.0, 0.0, 0.0033608165944566484, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.042845964431762695
16,0.04066574995558143,0.044843686782274274,0.03919228349608943,"[0.006326488319587069, 0.0, 0.0, 0.0, 0.0, 0.8930772817539324, 0.008142159720819385, 0.03143931453692453, 0.04191097584455519, 0.0, 0.0, 0.0, 0.0, 0.015981575930462608, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0031222038937189656]",0.04308319091796875
17,0.03940309364462838,0.044779856078947175,0.03951916736261645,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.8999910790013744, 0.05253091450707158, 0.0, 0.030959043053352057, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016518963438201868, 0.0, 0.0]",0.04260110855102539
18,0.039323066015301826,0.04369408789900015,0.03676301005164115,"[0.03786603165986494, 0.014233251747857032, 0.0, 0.0, 0.0, 0.8580121121529327, 0.0, 0.0, 0.0, 0.04896099447605797, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.040927609963287294, 0.0, 0.0]",0.04269123077392578
19,0.03987449643568662,0.0451025317603477,0.040915920390625714,"[0.0, 0.0, 0.0, 0.03218996668287812, 0.0, 0.9223816653044685, 0.0, 0.0, 0.009562701282216094, 0.0, 0.0, 0.035865666730437305, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.04341483116149902
20,0.038946788677871304,0.04621954298617571,0.0415587847333313,"[0.0, 0.03477442976982095, 0.02874912831997825, 0.0, 0.0, 0.9268299249005206, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0003600749931777758, 0.0, 0.0, 0.0, 0.0, 0.009286442016502295, 0.0, 0.0]",0.04365992546081543
21,0.038988821096077014,0.046266358346109274,0.04111543815641911,"[0.02362784325112645, 0.018655863379875404, 0.0, 0.0, 0.0, 0.9133688910658289, 0.0, 0.03479017549163679, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009557226811532553, 0.0, 0.0, 0.0, 0.0, 0.0]",0.043519020080566406
22,0.04122429752666334,0.046769732721440554,0.042897717128061535,"[0.0, 0.037578344951955646, 0.0, 0.0, 0.0, 0.9450826758227772, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017338979225267212, 0.0]",0.04330277442932129
23,0.03963542762427269,0.04467106227961774,0.040353390653983634,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.9226137706698131, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030963424149370637, 0.04642280518081626, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.04332399368286133
24,0.03861029507403821,0.04379825451821081,0.0370391343286468,"[0.0018881155531128603, 0.0, 0.0, 0.0, 0.0, 0.8650817512073856, 0.0, 0.057873795847690014, 0.0, 0.0, 0.0, 0.0, 0.01209949188327762, 0.0, 0.0, 0.025860201274829995, 0.0, 0.0, 0.014545653891308937, 0.022650990342395136]",0.04331088066101074
25,0.03945350401903596,0.044869419295216484,0.04030991805487142,"[0.010210333608411873, 0.0, 0.0, 0.0, 0.0, 0.9147286769734431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020655052412040836, 0.0, 0.029005500097525495, 0.0, 0.0, 0.02519987225792075, 0.0002005646506580616, 0.0]",0.04250788688659668
26,0.03990371845170335,0.044457099850351935,0.03893032460755127,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.89238587845455, 0.0, 0.044217312974161004, 0.0, 0.002544380021875382, 0.0, 0.0408539727245612, 0.0, 0.019998455824852452, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.04275321960449219
27,0.04031922211826091,0.04503365237618168,0.040205646362166544,"[0.0, 0.0066626373389897095, 0.0, 0.0038721232762160274, 0.0, 0.9079607342867965, 0.00565205853727923, 0.01801273995882134, 0.0, 0.002901564912526182, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010641861789669192, 0.044296279899701974, 0.0]",0.04322004318237305
28,0.04103729384655406,0.045286012593482805,0.040546365717847775,"[0.0, 0.04287672528495681, 0.0, 0.0, 0.036231937849122986, 0.9126171806000312, 0.0, 0.0, 0.0, 0.0, 0.004737166714343129, 0.0, 8.44820826613841e-05, 0.0, 0.0, 0.0, 0.0, 0.003452507468884667, 0.0, 0.0]",0.04316902160644531
29,0.039807656708624004,0.04674088495962538,0.04312881434097527,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.9523597277420379, 0.0, 0.0, 0.022020791623906993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025619480634055093, 0.0, 0.0, 0.0, 0.0]",0.04313802719116211
30,0.03849453351189474,0.0449851038371403,0.039758363245970776,"[0.0, 0.03857764580155556, 0.0, 0.0, 0.0, 0.9058732339090466, 0.0, 0.0, 0.0, 0.010946107005193302, 0.02250340203627407, 0.0, 0.0, 0.0, 0.0, 0.021231683845329537, 0.0, 0.0, 0.0008679274026008614, 0.0]",0.04318499565124512
