Run,Best_Return,Best_Weights,Execution_Time,Fitness_History
1,0.04353404524391138,"0.008464243029712732,0.011777944846092184,0.004443878513010082,0.018684770321944596,0.004068924568512384,0.8759628756438681,0.00014618836666266792,0.0036814654841578563,0.009184568261008,1.4442336642350794e-05,0.0011031907345246698,0.0052839240235037456,0.000699703136310289,0.009400630692093435,0.0006329596272190675,0.015623981949658758,0.0006217808193151492,0.0019884510261945483,0.019908590001678373,0.008307486617891026",0.0945439338684082,"0.01979168827065485,0.01979168827065485,0.019842174045037006,0.020114513332496232,0.020114513332496232,0.024979658805318238,0.026496628123032766,0.026496628123032766,0.026496628123032766,0.026496628123032766,0.026496628123032766,0.026496628123032766,0.026496628123032766,0.026496628123032766,0.027062670332036912,0.0307697415431835,0.0307697415431835,0.0307697415431835,0.0307697415431835,0.0307697415431835,0.030899664957006853,0.030899664957006853,0.03177640997755637,0.03177640997755637,0.03338662078313153,0.03349386736834386,0.03349386736834386,0.03349386736834386,0.03349386736834386,0.03349386736834386,0.03349386736834386,0.0342973735169257,0.0342973735169257,0.03456738933807507,0.034729515665896514,0.036366701632870646,0.036536877633336476,0.036536877633336476,0.03653687763333648,0.03653687763333648,0.03697489917158736,0.03697489917158736,0.03697489917158736,0.03747479909093782,0.03747479909093782,0.03747479909093782,0.03747479909093782,0.03747479909093782,0.03747479909093782,0.03825437425527836,0.03825437425527836,0.03905559823945634,0.03905559823945634,0.03905559823945634,0.039611615561112215,0.039611615561112215,0.04000813273289173,0.0401422030928186,0.0401422030928186,0.0401422030928186,0.0401422030928186,0.0401422030928186,0.040347707718442455,0.04087055227537549,0.04087420954327805,0.04087420954327805,0.04087420954327805,0.04087420954327805,0.04087420954327805,0.041106011608369915,0.041605483631707164,0.041605483631707164,0.041605483631707164,0.04174871275518258,0.04174871275518258,0.04174871275518258,0.04174871275518258,0.04174871275518258,0.04186804512385423,0.04186804512385423,0.04200725172748325,0.04200725172748326,0.04200725172748326,0.04200725172748326,0.04200725172748326,0.04200725172748326,0.04208397545288042,0.04208397545288042,0.0426542088700781,0.0426542088700781,0.0426542088700781,0.0426542088700781,0.04300943646732957,0.04300943646732957,0.04353404524391138,0.04353404524391138,0.04353404524391138,0.04353404524391138,0.04353404524391138,0.04353404524391138"
2,0.04332428783677774,"0.004990908602724076,0.009707979401607046,0.0019232827186138853,0.0029900195462805776,0.003515794815554136,0.8649710886010559,0.0032572189563194647,0.02484075988038624,0.008308104218405983,0.0023616301103219365,0.0011653834992706776,0.01536715183588572,0.006324672846890177,0.000559661910672773,0.005151090787662661,0.015583341086367894,0.0028083867660699006,0.010988878194175877,0.007703277069759946,0.007481369151975208",0.09364676475524902,"0.019325090773717978,0.019517421657636598,0.019517421657636598,0.019517421657636598,0.02237744685983894,0.02237744685983894,0.022476765872980947,0.022476765872980947,0.022476765872980947,0.023358600296296623,0.023358600296296623,0.023358600296296623,0.02376561510091985,0.024672665654431304,0.024672665654431304,0.024967526850803317,0.024967526850803317,0.025608414069043777,0.025608414069043777,0.025832276288951468,0.025832276288951468,0.02617397774633179,0.02662478850322983,0.02662478850322983,0.027003570069121508,0.027003570069121508,0.027127107870583412,0.02761765376186194,0.028141727577345642,0.028141727577345642,0.028141727577345642,0.02924358878338652,0.02924358878338652,0.02924358878338652,0.031614600884969556,0.03190092042937921,0.03190092042937921,0.03190092042937921,0.03190092042937921,0.03190092042937921,0.032035761884664594,0.032035761884664594,0.03234509245105609,0.03234509245105609,0.03256947385251389,0.032835590735556114,0.033696700429191,0.033696700429191,0.03422642288026128,0.03422642288026128,0.03422642288026128,0.03422642288026128,0.03556636765154161,0.03556636765154161,0.03556636765154161,0.03556636765154161,0.03556636765154161,0.03746254404019345,0.03746254404019345,0.03746254404019345,0.03746254404019345,0.03851674586817094,0.038565547823102814,0.038565547823102814,0.038565547823102814,0.038565547823102814,0.038969734817895126,0.038969734817895126,0.04015500675812412,0.040155006758124126,0.040155006758124126,0.040155006758124126,0.040155006758124126,0.040155006758124126,0.040155006758124126,0.040155006758124126,0.040155006758124126,0.040858212725376125,0.040858212725376125,0.040858212725376125,0.041047663408369954,0.041314063616461144,0.041314063616461144,0.04226191028369219,0.04226191028369219,0.04226191028369219,0.04226191028369219,0.04226191028369219,0.04226191028369219,0.04226191028369219,0.04332428783677774,0.04332428783677774,0.04332428783677774,0.04332428783677774,0.04332428783677774,0.04332428783677774,0.04332428783677774,0.04332428783677774,0.04332428783677774,0.04332428783677774"
3,0.040562220253714976,"0.02012851465996594,0.024521417764981113,0.006669300672734434,0.008738512094860434,0.015271775340504218,0.7972688389380878,0.007269995575611194,0.009796262444480605,0.0048928552430508015,0.019777331133683403,0.007156484679058328,0.0012635137039292393,0.00498851023321758,0.008906829263247495,0.0005176480810674054,0.00207547287994917,0.009750865053481553,0.01547597362160829,0.024933359754023107,0.010596538862457941",0.09248781204223633,"0.01578000235821699,0.01578000235821699,0.01578000235821699,0.018616010164406508,0.018616010164406508,0.018616010164406508,0.018616010164406508,0.020076790691623995,0.020076790691623995,0.020076790691623995,0.020076790691623995,0.0219255168776177,0.0219255168776177,0.02400718800174652,0.02400718800174652,0.02400718800174652,0.024361061171913237,0.024361061171913237,0.024506537819492153,0.024668880011354435,0.025218715194476576,0.02542180027664798,0.02542180027664798,0.026119339119576028,0.026119339119576028,0.026119339119576028,0.026119339119576028,0.029073715237280463,0.029073715237280463,0.029073715237280463,0.029073715237280463,0.029073715237280463,0.029073715237280463,0.029183051768465654,0.03124083205563784,0.03124083205563784,0.031240832055637845,0.031240832055637845,0.031240832055637845,0.031240832055637845,0.03237227123248043,0.03237227123248044,0.03237227123248044,0.03454349234450036,0.03480344859587045,0.03480344859587045,0.03480344859587045,0.03532908104651569,0.03532908104651569,0.03532908104651569,0.03532908104651569,0.03566978731239053,0.037267079112850494,0.037267079112850494,0.037267079112850494,0.03731931378718298,0.03731931378718298,0.03731931378718298,0.03741978103206566,0.03741978103206566,0.03741978103206566,0.0374531785264869,0.0374531785264869,0.0374531785264869,0.0374531785264869,0.0374531785264869,0.0374531785264869,0.03802252607540331,0.03802252607540331,0.03867366441927377,0.03867366441927377,0.03867366441927377,0.039320780664102294,0.039320780664102294,0.039320780664102294,0.039320780664102294,0.039320780664102294,0.039320780664102294,0.03980276574708559,0.03980276574708559,0.03980276574708559,0.03980276574708559,0.039802765747085606,0.039802765747085606,0.039802765747085606,0.039802765747085606,0.039802765747085606,0.039802765747085606,0.04031809135444987,0.04031809135444987,0.04031809135444987,0.04031809135444987,0.04031809135444987,0.04031809135444987,0.04031809135444987,0.040391852443996526,0.040391852443996526,0.040562220253714976,0.040562220253714976,0.040562220253714976"
4,0.04132154601858756,"0.007514264466465778,0.01785938507875144,0.011416174478477861,0.00954685884422694,0.0009578999901689358,0.8218227320304184,0.009887565622088257,0.0003094931755271186,0.011508697290580329,0.013071451616363836,0.0051747552946966036,0.007857224939828374,0.0014893902544967335,0.009024164037198818,0.0012685021924919982,0.0009269667300319455,0.010421159073698488,0.027851023564669907,0.019957030734307293,0.01213526058551101",0.09300112724304199,"0.016769909869748387,0.016769909869748387,0.016769909869748387,0.016769909869748387,0.018506312828009557,0.01850631282800956,0.019791692546917764,0.019900550764438456,0.021502125862987994,0.02203995289970829,0.02203995289970829,0.022039952899708292,0.022740949131877873,0.02313868340796666,0.026854502591941318,0.027114827983289985,0.027114827983289985,0.0285536685467321,0.0285536685467321,0.028826311434364142,0.028826311434364142,0.028826311434364142,0.028826311434364142,0.02960964796328864,0.02963535933716949,0.030054953051292247,0.03126928298104936,0.03126928298104936,0.03126928298104936,0.03126928298104936,0.03126928298104936,0.032562049375968724,0.032562049375968724,0.032562049375968724,0.032562049375968724,0.032562049375968724,0.03328124714170804,0.03457934283969131,0.03457934283969131,0.03457934283969131,0.03457934283969131,0.035510996754111054,0.035510996754111054,0.035510996754111054,0.035510996754111054,0.035510996754111054,0.035510996754111054,0.035510996754111054,0.035510996754111054,0.035510996754111054,0.035510996754111054,0.035510996754111054,0.03593239998015094,0.03593239998015094,0.03629472911925253,0.03629472911925253,0.03629472911925253,0.03629472911925253,0.03854392528381573,0.038543925283815735,0.038543925283815735,0.038543925283815735,0.038543925283815735,0.03869269058966048,0.03869269058966048,0.03869269058966048,0.03869269058966048,0.03869269058966048,0.03869269058966048,0.03869269058966048,0.03893753234170259,0.03944032030962056,0.03944032030962056,0.03944032030962056,0.039440320309620566,0.039440320309620566,0.039440320309620566,0.039440320309620566,0.03985786375223071,0.03985786375223071,0.03985786375223071,0.03985786375223071,0.04013849485405434,0.040427178139466446,0.0405123771361967,0.040693836155659774,0.040693836155659774,0.040693836155659774,0.040693836155659774,0.040693836155659774,0.04092296442305083,0.04092296442305083,0.04092296442305083,0.04092296442305083,0.04095040608850394,0.04095040608850394,0.04132154601858756,0.04132154601858756,0.04132154601858756,0.04132154601858756"
5,0.04006514576007914,"0.007527667951890886,0.003600430352486804,0.01666300175490745,0.0031087026543467917,0.004220875560852377,0.7812178525868376,0.015770409395587874,0.03688304498458143,0.002782988199201726,0.04765683291621631,0.0013399731782505618,0.006854625976890663,0.004309730907917484,0.003549381609991277,0.009979144251088375,0.013461939266118958,0.020823464486138973,0.006288058484489544,0.005208079226060691,0.008753796256144088",0.09302520751953125,"0.013149637607959832,0.013149637607959832,0.014074597823336438,0.015073051143354374,0.017063714419672887,0.01729483741767529,0.01729483741767529,0.01729483741767529,0.01729483741767529,0.017843136103798136,0.02040269113523816,0.02040269113523816,0.02040269113523816,0.02040269113523816,0.02270664740864422,0.02270664740864422,0.02270664740864422,0.023239353283282613,0.023239353283282613,0.023239353283282613,0.023239353283282613,0.023241739175712203,0.024196850270576296,0.02467214890943297,0.02467214890943297,0.02660524886729426,0.02660524886729426,0.026605248867294262,0.026605248867294262,0.026605248867294262,0.028623803440311162,0.028623803440311162,0.028623803440311162,0.028623803440311162,0.028623803440311162,0.028623803440311162,0.029127332148155338,0.029127332148155338,0.030592647816625497,0.030592647816625497,0.030592647816625497,0.030592647816625497,0.030592647816625497,0.030592647816625497,0.031792821629761644,0.031792821629761644,0.031792821629761644,0.031792821629761644,0.031792821629761644,0.032360576536569034,0.033807247887859576,0.033807247887859576,0.033807247887859576,0.033807247887859576,0.033807247887859576,0.033807247887859576,0.03399281185975725,0.034696967568470315,0.034696967568470315,0.035106529468661905,0.035106529468661905,0.035106529468661905,0.03510652946866191,0.03545178759490228,0.03604504518170999,0.03604504518170999,0.036199712459765054,0.03622150164239007,0.03622150164239007,0.03622150164239007,0.03712669317160094,0.03712669317160094,0.03712669317160094,0.03712669317160094,0.03712669317160094,0.0375643822012347,0.0375643822012347,0.03756438220123471,0.03756438220123471,0.03756438220123471,0.037797703795446086,0.03782870634890868,0.0381300421492296,0.0381300421492296,0.0381300421492296,0.0381300421492296,0.03851761181188784,0.03851761181188784,0.03851761181188784,0.03851761181188784,0.03851761181188784,0.03874806969494993,0.03874806969494993,0.03874806969494993,0.04006514576007914,0.04006514576007914,0.04006514576007914,0.04006514576007914,0.04006514576007914,0.04006514576007914"
6,0.040790894351805974,"0.025746403047858163,0.01796897482368751,0.006196723524798117,0.007192978688829489,0.01022888515325104,0.7904681401702589,0.04539687368765727,0.02737641554398111,0.009770967832031763,0.001113195113437213,0.0032598678855253384,0.005456902500748261,0.003632288701662748,0.001217854448439367,0.017039444552088574,0.003931902525847521,0.0017309621784494108,0.012728269721493126,0.0021454616133189577,0.00739748828663615",0.09325218200683594,"0.014292810182636029,0.01771192250350533,0.01771192250350533,0.01771192250350533,0.01771192250350533,0.018064163786287064,0.018180679877705157,0.021406119653046833,0.021406119653046833,0.021406119653046833,0.022073444159083768,0.022945281343789082,0.022945281343789085,0.024766250140375617,0.024766250140375617,0.024983011726567,0.024983011726567,0.026880990671409224,0.026880990671409224,0.026880990671409224,0.026880990671409224,0.026880990671409224,0.027611084551830627,0.02876894090688043,0.02876894090688043,0.02876894090688043,0.02876894090688044,0.02876894090688044,0.029035721413813297,0.02957608569298222,0.02957608569298222,0.029847464971637927,0.02994982164951432,0.02994982164951432,0.02994982164951432,0.030500550911810028,0.03106038770120913,0.03106038770120913,0.031365985846397326,0.031365985846397326,0.031365985846397326,0.031365985846397326,0.0314185479485609,0.033389908017591084,0.033389908017591084,0.033389908017591084,0.033389908017591084,0.033389908017591084,0.033389908017591084,0.03415802445906354,0.03415802445906354,0.03415802445906355,0.03457073224816073,0.03457073224816073,0.03457073224816073,0.03480387228234014,0.03480387228234014,0.03480387228234014,0.03480387228234014,0.03480387228234014,0.03480387228234014,0.03669667325846995,0.03669667325846995,0.03669667325846995,0.036874566639519185,0.036874566639519185,0.036874566639519185,0.036874566639519185,0.036874566639519185,0.03757789312155472,0.03757789312155472,0.03757789312155472,0.03757789312155472,0.03757789312155472,0.0377664731846005,0.0377664731846005,0.0377664731846005,0.0377664731846005,0.0377664731846005,0.0377664731846005,0.03947629956916565,0.03947629956916565,0.03947629956916565,0.03947629956916565,0.03947629956916565,0.03947629956916565,0.03947629956916565,0.03947629956916565,0.03947629956916565,0.03947629956916565,0.03947629956916565,0.039864577549572816,0.0401096090100862,0.040385157279558166,0.040385157279558166,0.040385157279558166,0.040385157279558166,0.040790894351805974,0.040790894351805974,0.040790894351805974"
7,0.03935932773134633,"0.004692297913802145,0.031660079355184015,0.006424226594707683,0.0017686903195519587,0.001952512112394638,0.7600301868326803,0.008387699381783652,0.0463135780747711,0.011747517147879355,0.01669551328951811,0.002958100101362515,0.003523476515333027,0.006684656487717873,0.0027079236862656304,0.01577143344036148,0.027796620659062132,0.0006498090054433642,0.013599286960549769,0.013846515812602508,0.022789876309028782",0.09450197219848633,"0.016170239316837153,0.016170239316837153,0.016692642047052293,0.017082382284475797,0.017799236500714303,0.017799236500714303,0.019582949713273443,0.019582949713273443,0.021442327382352796,0.021722090066847652,0.022262226376701943,0.022262226376701943,0.022262226376701943,0.022262226376701943,0.02416387729653504,0.025217036961116653,0.025664097720170705,0.025664097720170705,0.026350964286034412,0.026350964286034412,0.026350964286034412,0.026390123790624734,0.026390123790624734,0.026390123790624734,0.028566877363247988,0.028738063337182568,0.028738063337182568,0.02930980598057387,0.02930980598057387,0.02930980598057387,0.02930980598057387,0.02930980598057387,0.029387802236951557,0.029387802236951557,0.029387802236951557,0.029520678666013475,0.029520678666013475,0.03173335201452741,0.03173335201452741,0.0320301740330831,0.0320301740330831,0.0320301740330831,0.03207271087189909,0.03207271087189909,0.03224050908070402,0.03224050908070402,0.03226950808278195,0.03273809819456426,0.03273809819456426,0.033777683560111835,0.033842767740562815,0.033842767740562815,0.03465404577891225,0.03465404577891225,0.03465404577891225,0.03465404577891225,0.03465404577891225,0.035918939294899796,0.035918939294899796,0.035918939294899796,0.035918939294899796,0.035918939294899796,0.03596912883004007,0.03596912883004007,0.03601483838955843,0.03601483838955843,0.03601483838955843,0.03601483838955843,0.03601483838955843,0.03601483838955843,0.03601483838955843,0.03601483838955843,0.03716377971617362,0.03716377971617362,0.03716377971617362,0.03716377971617363,0.03716377971617363,0.03716377971617363,0.03737062559450147,0.03737062559450148,0.03784827037772032,0.03786842402905499,0.03786842402905499,0.03786842402905499,0.03786842402905499,0.03786842402905499,0.0389349949561217,0.0389349949561217,0.0389349949561217,0.0389349949561217,0.0389349949561217,0.03935932773134633,0.03935932773134633,0.03935932773134633,0.03935932773134633,0.03935932773134633,0.03935932773134633,0.03935932773134633,0.03935932773134633,0.03935932773134633"
8,0.042144146440382745,"0.005624272389042893,0.010165812474638942,0.011751007614582289,0.021361232067338465,0.004532623542906481,0.8469861031803374,0.02075465100997098,0.00024204548102197866,0.00908096252257077,0.008003675443078452,0.0024629790890274782,0.01498084696226334,0.004379421214199878,0.0007479010975720326,0.016052077750180443,0.00650577829028415,0.0031472361670102874,0.008399330932314167,0.00019291441859594144,0.0046291283530634905",0.09897613525390625,"0.014563246635501258,0.016519380673937305,0.018356483419244157,0.018356483419244157,0.018356483419244157,0.01908579904713073,0.019496334541617626,0.019496334541617626,0.021212101767731115,0.023893231264351264,0.02429413802810788,0.02429413802810788,0.02429413802810788,0.024987936261159693,0.024987936261159693,0.024987936261159693,0.024987936261159693,0.024987936261159693,0.025964259946867477,0.026226565016888463,0.026743966454447873,0.029104701364818103,0.029104701364818103,0.029104701364818103,0.029977897097714905,0.029977897097714912,0.029977897097714912,0.029977897097714912,0.029977897097714912,0.029977897097714912,0.03018698326754529,0.030893536993431392,0.030893536993431392,0.030893536993431392,0.030899978319124465,0.031443469392076165,0.031588190901776426,0.032293795010799375,0.032293795010799375,0.03369063612672171,0.033690636126721726,0.033690636126721726,0.033690636126721726,0.033690636126721726,0.03375154073725729,0.036194509751710666,0.03619450975171068,0.03619450975171068,0.03619450975171068,0.03619450975171068,0.03619450975171068,0.03619450975171068,0.03619450975171068,0.03619450975171068,0.03673888048728127,0.0367907748630242,0.03730270077050739,0.03748854693965227,0.03748854693965227,0.037623787979658645,0.037623787979658645,0.037623787979658645,0.037623787979658645,0.037623787979658645,0.03880538562475273,0.03880538562475273,0.03880538562475273,0.03908295239014277,0.03908295239014277,0.03908295239014277,0.03908295239014277,0.03908295239014277,0.03908295239014277,0.03908295239014277,0.03908295239014277,0.03908295239014277,0.03956500544099015,0.039565005440990154,0.039565005440990154,0.04032897378322139,0.040456956022562496,0.040456956022562496,0.04108654795169532,0.04108654795169532,0.04108654795169532,0.04108654795169532,0.04108654795169532,0.04108654795169532,0.04108654795169532,0.04112791259605582,0.04112791259605582,0.04112791259605582,0.04112791259605582,0.04112791259605582,0.04112791259605582,0.04112791259605582,0.04112791259605582,0.04149488460883609,0.041494884608836095,0.042144146440382745"
9,0.04200313790784599,"0.004710313044691211,0.0018098364727131722,0.006595598286954678,0.0007184766932715167,0.01475870294219755,0.8397609478673135,0.00042212502226053784,0.028368291780391502,0.012981446426756598,0.0032254026252426854,0.0019351764199675035,0.005411841417714008,0.01704318873590232,0.002355926463039454,0.012310471446273919,0.018074183406546384,0.010461417773980223,0.002710079455949349,0.010928197016596555,0.00541837670223747",0.09475302696228027,"0.015451434468114943,0.015451434468114944,0.015769016571829515,0.015769016571829515,0.019796728266235932,0.019960075955156368,0.019960075955156368,0.019960075955156368,0.019960075955156368,0.020526470098983538,0.021576824883331482,0.021576824883331482,0.021576824883331482,0.024173206562263697,0.024173206562263697,0.024173206562263697,0.02498570896781484,0.02498570896781484,0.024985708967814844,0.024985708967814844,0.025428236971777686,0.025493923721155037,0.025493923721155037,0.026004906323954618,0.026004906323954618,0.026826868266799104,0.029846664958935024,0.029846664958935024,0.029846664958935024,0.029846664958935024,0.029846664958935024,0.029846664958935024,0.029846664958935024,0.030514628642173854,0.030514628642173854,0.030514628642173854,0.030514628642173854,0.03322863039504583,0.03322863039504583,0.03322863039504583,0.03322863039504583,0.03322863039504583,0.03352191263131954,0.03352191263131954,0.03352191263131954,0.03352191263131954,0.03493461670167442,0.03493461670167442,0.03493461670167442,0.03493461670167442,0.03493461670167442,0.03493461670167442,0.03493461670167442,0.035138826082906714,0.03639790463600309,0.03639790463600309,0.03639790463600309,0.03639790463600309,0.03645269988116429,0.036689457712405144,0.03668945771240515,0.038529685287250565,0.038529685287250565,0.03852968528725057,0.03852968528725057,0.03852968528725057,0.03852968528725057,0.03852968528725057,0.03852968528725057,0.03852968528725057,0.03852968528725057,0.03899965926800334,0.03980014595380918,0.03980014595380918,0.03980014595380918,0.03980014595380918,0.03980014595380918,0.03980014595380918,0.03980014595380918,0.03980014595380918,0.040352001346128756,0.040352001346128756,0.040422257533730785,0.04063151070606304,0.04063151070606304,0.04063151070606304,0.04063151070606304,0.04063151070606304,0.04113257839447454,0.04113257839447454,0.04128053192640007,0.04128053192640007,0.04128053192640007,0.04128053192640008,0.04200313790784599,0.04200313790784599,0.04200313790784599,0.04200313790784599,0.04200313790784599,0.04200313790784599"
10,0.04164692685113483,"0.019915799732943523,0.001423453905521618,0.009158391228279742,0.0037733892511449974,0.009464557321445546,0.814949945197376,0.0045926636927480415,0.03740136806672357,0.00370719524127078,0.013813493778954944,0.009079275749135755,0.0027981139349847325,0.015580825585330046,0.007075876205546942,0.0034073771880952504,0.015508937141747947,0.012095429044870633,0.014148481051812671,0.0010099310432646947,0.0010954956388028812",0.09444975852966309,"0.016466201630877902,0.01808692325413254,0.018743126239439654,0.018743126239439654,0.018743126239439654,0.019124532296788926,0.02193591058803157,0.021935910588031578,0.021935910588031578,0.021935910588031578,0.021935910588031578,0.02217346990869505,0.02217346990869506,0.02348361903955481,0.02348361903955481,0.02348361903955481,0.023536368596953187,0.023978003966888158,0.023978003966888158,0.0249196760898528,0.0249196760898528,0.0249196760898528,0.024928161035875144,0.025134303728706887,0.02693987358383699,0.02693987358383699,0.02693987358383699,0.02693987358383699,0.02693987358383699,0.027033075617373004,0.027033075617373004,0.027462734389962155,0.028147959717665778,0.028191273053447,0.028307368811184924,0.028323868898957417,0.02842618671913945,0.028590700574683294,0.029016754436398885,0.029335253719983828,0.029335253719983828,0.03264053580547305,0.032640535805473055,0.032640535805473055,0.032640535805473055,0.032640535805473055,0.032640535805473055,0.03308175320732391,0.03308175320732391,0.03308175320732391,0.03308175320732391,0.03342817088153602,0.03378250033750619,0.0337947757862474,0.0337947757862474,0.03487740196575606,0.03487740196575606,0.03487740196575606,0.03487740196575606,0.034921047669293256,0.034921047669293256,0.03497998082708273,0.035079067623089225,0.035544909396276594,0.03602537150150717,0.03706491893553029,0.03706491893553029,0.03706491893553029,0.03760459978431886,0.037739486683845296,0.037739486683845296,0.038428612053098936,0.038428612053098936,0.038428612053098936,0.03849603960940683,0.03875176893843292,0.038759857526950034,0.038759857526950034,0.038759857526950034,0.038759857526950034,0.039168136679191556,0.03925477800262383,0.03979091442216401,0.040807574106539894,0.040807574106539894,0.040807574106539894,0.040807574106539894,0.040807574106539894,0.04107776063766161,0.04107776063766161,0.04107776063766161,0.04107776063766161,0.04107776063766161,0.04107776063766161,0.04107776063766161,0.04107776063766161,0.04107776063766161,0.04128783047981838,0.041287830479818384,0.04164692685113483"
